"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/23/2026","4/23/2026","4/24/2026","QXO","QXO
CUSIP: 82846H405","Buy","50","$22.20","($1,109.76)"
"4/23/2026","4/23/2026","4/24/2026","MSOS","MSOS 1/21/2028 Call $13.00","STO","2","$0.91","$181.90"
"4/23/2026","4/23/2026","4/24/2026","MSOS","MSOS 1/21/2028 Call $10.00","BTO","2","$1.11","($222.08)"
"4/23/2026","4/23/2026","4/24/2026","QXO","QXO
CUSIP: 82846H405","Buy","5","$21.74","($108.73)"
"4/23/2026","4/23/2026","4/24/2026","SMR","NuScale Power
CUSIP: 67079K100","Sell","100","$12.32","$1,231.95"
"4/23/2026","4/23/2026","4/24/2026","SMR","SMR 5/22/2026 Call $14.00","BTC","1","$1.10","($110.04)"
"4/23/2026","4/23/2026","4/24/2026","CLSK","CLSK 1/15/2027 Call $35.00","BTC","1","$0.67","($67.04)"
"4/23/2026","4/23/2026","4/24/2026","CLSK","CLSK 1/15/2027 Call $25.00","STC","1","$1.24","$123.94"
"4/23/2026","4/23/2026","4/24/2026","NOW","NOW 1/15/2027 Put $150.00","STO","1","$64.65","$6,464.81"
"4/23/2026","4/23/2026","4/24/2026","NOW","NOW 1/15/2027 Put $140.00","BTO","1","$55.45","($5,545.04)"
"4/23/2026","4/23/2026","4/24/2026","MSOS","MSOS 1/21/2028 Call $13.00","STO","1","$1.02","$101.94"
"4/23/2026","4/23/2026","4/24/2026","MSOS","MSOS 1/21/2028 Call $10.00","BTO","1","$1.31","($131.04)"
"4/23/2026","4/23/2026","4/24/2026","MSOS","MSOS 1/21/2028 Call $13.00","STO","1","$1.02","$101.94"
"4/23/2026","4/23/2026","4/24/2026","MSOS","MSOS 1/21/2028 Call $10.00","BTO","1","$1.31","($131.04)"
"4/22/2026","4/22/2026","4/23/2026","QS","QuantumScape Corporation
CUSIP: 74767V109","Buy","10","$8.22","($82.20)"
"4/22/2026","4/22/2026","4/23/2026","QXO","QXO
CUSIP: 82846H405","Buy","5","$21.22","($106.13)"
"4/22/2026","4/22/2026","4/23/2026","QXO","QXO
CUSIP: 82846H405","Buy","10","$21.17","($211.70)"
"4/22/2026","4/22/2026","4/23/2026","QXO","QXO
CUSIP: 82846H405","Buy","5","$21.92","($109.58)"
"4/21/2026","4/21/2026","4/22/2026","VG","VG 6/18/2026 Call $17.50","BTC","1","$0.45","($45.04)"
"4/21/2026","4/21/2026","4/22/2026","CVNA","CVNA 5/15/2026 Put $185.00","STO","1","$0.85","$84.94"
"4/21/2026","4/21/2026","4/22/2026","CVNA","CVNA 5/15/2026 Put $200.00","BTO","1","$1.15","($115.04)"
"4/21/2026","4/21/2026","4/22/2026","QXO","QXO
CUSIP: 82846H405","Buy","5","$22.66","($113.33)"
"4/21/2026","4/21/2026","4/22/2026","VPG","VPG 11/20/2026 Call $60.00","BTC","1","$10.55","($1,055.04)"
"4/21/2026","4/21/2026","4/22/2026","VPG","VPG 11/20/2026 Call $55.00","STC","1","$12.35","$1,234.92"
"4/21/2026","4/21/2026","4/22/2026","META","META 3/19/2027 Put $920.00","BTO","1","$260.53","($26,053.04)"
"4/21/2026","4/21/2026","4/22/2026","META","META 3/19/2027 Put $950.00","STO","1","$286.80","$28,679.35"
"4/21/2026","4/21/2026","4/22/2026","QXO","QXO
CUSIP: 82846H405","Buy","10","$23.12","($231.25)"
"4/21/2026","4/21/2026","4/22/2026","UNH","UNH 1/15/2027 Call $410.00","BTC","1","$19.10","($1,910.04)"
"4/21/2026","4/21/2026","4/22/2026","UNH","UNH 1/15/2027 Call $400.00","STC","1","$21.90","$2,189.90"
"4/21/2026","4/21/2026","4/22/2026","ZM","ZM 1/15/2027 Put $130.00","STC","1","$39.54","$3,953.86"
"4/21/2026","4/21/2026","4/22/2026","ZM","ZM 1/15/2027 Put $140.00","BTC","1","$48.32","($4,832.04)"
"4/21/2026","4/21/2026","4/22/2026","GRAB","Grab
CUSIP: G4124C109","Sell","100","$4.10","$409.99"
"4/21/2026","4/21/2026","4/22/2026","VG","Venture Global
CUSIP: 92333F101","Buy","90","$11.80","($1,062.45)"
"4/21/2026","4/21/2026","4/22/2026","QXO","QXO
CUSIP: 82846H405","Buy","10","$23.85","($238.50)"
"4/20/2026","4/20/2026","4/21/2026","VG","Venture Global
CUSIP: 92333F101","Buy","10","$11.49","($114.90)"
"4/20/2026","4/20/2026","4/21/2026","QXO","QXO 1/21/2028 Call $35.00","BTC","1","$4.48","($448.04)"
"4/20/2026","4/20/2026","4/21/2026","QXO","QXO 1/21/2028 Call $30.00","STC","1","$5.78","$577.93"
"4/20/2026","4/20/2026","4/21/2026","TTD","TTD 1/21/2028 Call $70.00","STO","1","$2.21","$220.94"
"4/20/2026","4/20/2026","4/21/2026","TTD","TTD 1/21/2028 Call $65.00","BTO","1","$2.55","($255.04)"
"4/20/2026","4/20/2026","4/21/2026","TTD","TTD 1/21/2028 Call $70.00","STO","1","$2.18","$217.94"
"4/20/2026","4/20/2026","4/21/2026","TTD","TTD 1/21/2028 Call $65.00","BTO","1","$2.58","($258.04)"
"4/17/2026","4/17/2026","4/20/2026","WULF","WULF 7/17/2026 Call $25.00","STO","1","$2.09","$208.94"
"4/17/2026","4/17/2026","4/20/2026","WULF","WULF 5/15/2026 Call $21.00","BTC","1","$2.01","($201.04)"
