"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/22/2026","4/22/2026","4/23/2026","RDW","RDW 5/15/2026 Call $15.00","STO","1","$0.56","$55.94"
"4/21/2026","4/21/2026","4/22/2026","QXO","QXO 5/15/2026 Put $22.00","STO","1","$1.00","$99.94"
"4/21/2026","4/21/2026","4/22/2026","QXO","QXO 5/15/2026 Put $22.50","BTC","1","$1.25","($125.04)"
"4/20/2026","4/20/2026","4/21/2026","RDW","RDW 5/8/2026 Call $12.50","STO","1","$0.40","$39.94"
"4/20/2026","4/20/2026","4/21/2026","RDW","RDW 4/24/2026 Call $11.00","BTC","1","$0.25","($25.04)"
"4/20/2026","4/20/2026","4/21/2026","RDW","RDW 4/24/2026 Call $11.50","BTC","1","$0.15","($15.04)"
"4/20/2026","4/20/2026","4/21/2026","QXO","QXO 5/15/2026 Put $22.50","STO","1","$1.10","$109.94"
"4/17/2026","4/17/2026","4/20/2026","CIFR","CIFR 4/17/2026 Call $16.50","OASGN","1","",""
"4/17/2026","4/17/2026","4/20/2026","CIFR","Cipher Mining
CUSIP: 17253J106
1 CIFR Option Assigned","Sell","100","$16.50","$1,649.94"
"4/17/2026","4/17/2026","4/17/2026","TSLY","Cash Div: R/D 2026-04-16 P/D 2026-04-17 - 40.000882 shares at 0.267","CDIV","","","$10.68"
"4/17/2026","4/17/2026","4/20/2026","BTBT","BTBT 1/21/2028 Call $1.50","BTO","3","$0.88","($264.12)"
"4/17/2026","4/17/2026","4/20/2026","ZETA","ZETA 1/21/2028 Call $35.00","BTO","1","$3.60","($360.04)"
"4/17/2026","4/17/2026","4/20/2026","VG","Venture Global
CUSIP: 92333F101","Sell","100","$11.28","$1,127.95"
"4/16/2026","4/16/2026","4/17/2026","RDW","RDW 4/24/2026 Call $11.50","STO","1","$0.25","$24.94"
"4/16/2026","4/16/2026","4/17/2026","ZETA","ZETA 5/1/2026 Call $19.00","STO","1","$0.45","$44.94"
"4/15/2026","4/15/2026","4/16/2026","GRAB","GRAB 1/15/2027 Call $5.00","BTO","2","$0.38","($76.08)"
"4/15/2026","4/15/2026","4/16/2026","GRAB","GRAB 1/15/2027 Call $5.00","BTO","1","$0.37","($37.04)"
"4/15/2026","4/15/2026","4/16/2026","GRAB","GRAB 1/15/2027 Call $5.00","BTO","5","$0.38","($190.20)"
"4/15/2026","4/15/2026","4/16/2026","ZETA","Zeta Global
CUSIP: 98956A105","Buy","50","$17.26","($863.25)"
"4/15/2026","4/15/2026","4/16/2026","ZETA","ZETA 4/17/2026 Put $16.50","BTC","1","$0.17","($17.04)"
"4/15/2026","4/15/2026","4/16/2026","ZETA","Zeta Global
CUSIP: 98956A105","Buy","20","$17.24","($344.90)"
"4/15/2026","4/15/2026","4/16/2026","ZETA","Zeta Global
CUSIP: 98956A105","Buy","20","$17.24","($344.90)"
"4/15/2026","4/15/2026","4/16/2026","ZETA","Zeta Global
CUSIP: 98956A105","Buy","10","$17.24","($172.40)"
"4/14/2026","4/14/2026","4/15/2026","GRAB","GRAB 1/15/2027 Call $5.00","BTO","1","$0.34","($34.04)"
"4/14/2026","4/14/2026","4/15/2026","DLO","DLocal
CUSIP: G29018101","Buy","0.072202","$13.85","($1.00)"
"4/14/2026","4/14/2026","4/15/2026","PATH","PATH 1/21/2028 Call $30.00","BTO","1","$0.99","($99.04)"
