leg,dte,tickers,premium_usd,realized_share_usd,unrealized_share_usd,total_return_usd,max_capital_usd,premium_pct,return_pct,max_dd_usd,max_dd_pct,return_to_dd,cycles_opened,cycles_assigned
cc_always,7,19,5901.66,12272.42,0.0,18174.08,55022.58,10.73,33.03,2160.54,3.93,8.41,109,19
cc_keltner,7,19,2658.71,6501.39,1800.03,10960.14,55022.58,4.83,19.92,17317.85,31.47,0.63,26,3
csp_always,7,19,5690.6,0.0,1779.5,7470.1,37855.0,15.03,19.73,15031.0,39.71,0.5,115,19
csp_keltner,7,19,1204.63,0.0,365.0,1569.63,18623.0,6.47,8.43,667.83,3.59,2.35,14,2
cc_always,14,19,4388.53,15098.42,0.0,19486.95,55022.58,7.98,35.42,1586.44,2.88,12.28,52,19
cc_keltner,14,19,2946.16,19191.0,2831.42,24968.59,55022.58,5.35,45.38,10374.41,18.85,2.41,23,6
csp_always,14,19,8598.81,0.0,-6442.0,2156.81,45568.0,18.87,4.73,13148.49,28.85,0.16,107,19
csp_keltner,14,19,1768.02,0.0,428.5,2196.52,18259.5,9.68,12.03,518.0,2.84,4.24,14,1
cc_always,21,19,4152.94,14255.37,71.05,18479.36,55022.58,7.55,33.59,1958.65,3.56,9.43,54,18
cc_keltner,21,19,3309.75,6349.5,2126.92,11786.15,55022.58,6.02,21.42,13322.33,24.21,0.88,22,7
csp_always,21,19,9376.23,0.0,-6329.0,3047.23,45969.0,20.4,6.63,12738.96,27.71,0.24,109,19
csp_keltner,21,19,2313.53,0.0,496.5,2810.03,18049.5,12.82,15.57,389.62,2.16,7.21,15,2
cc_always,28,19,7533.03,14196.74,-396.32,21333.47,55022.58,13.69,38.77,3062.94,5.57,6.97,65,17
cc_keltner,28,19,3533.03,6941.91,-2372.49,8102.46,55022.58,6.42,14.73,14961.55,27.19,0.54,21,6
csp_always,28,19,9576.2,0.0,-8017.0,1559.2,47578.5,20.13,3.28,11260.99,23.67,0.14,102,19
csp_keltner,28,19,1832.95,0.0,-1821.5,11.45,17959.5,10.21,0.06,2767.61,15.41,0.0,11,5
cc_always,35,19,6151.63,17740.42,0.0,23892.06,55022.58,11.18,43.42,2461.28,4.47,9.71,50,19
cc_keltner,35,19,3785.72,7552.91,-2230.49,9108.14,55022.58,6.88,16.55,13672.39,24.85,0.67,21,7
csp_always,35,19,11273.69,0.0,-8817.0,2456.68,48034.0,23.47,5.11,10126.49,21.08,0.24,95,17
csp_keltner,35,19,2233.22,0.0,530.0,2763.22,17899.5,12.48,15.44,522.46,2.92,5.29,12,4
cc_always,42,19,5493.47,15930.43,33.99,21457.88,55022.58,9.98,39.0,1931.24,3.51,11.11,41,18
cc_keltner,42,19,4433.37,7096.2,3828.22,15357.78,55022.58,8.06,27.91,11957.99,21.73,1.28,22,7
csp_always,42,19,10896.32,0.0,-11946.0,-1049.68,48226.0,22.59,-2.18,9605.61,19.92,-0.11,91,17
csp_keltner,42,19,2448.43,0.0,775.5,3223.93,17889.5,13.69,18.02,675.5,3.78,4.77,11,5
cc_always,45,19,7921.29,16583.91,1990.51,26495.7,55022.58,14.4,48.15,2859.71,5.2,9.27,58,15
cc_keltner,45,19,4249.51,6943.91,-2230.49,8962.93,55022.58,7.72,16.29,14442.42,26.25,0.62,21,7
csp_always,45,19,10415.23,0.0,-12386.5,-1971.27,48870.5,21.31,-4.03,11162.94,22.84,-0.18,74,18
csp_keltner,45,19,2557.65,0.0,540.0,3097.65,17879.5,14.3,17.33,428.02,2.39,7.24,11,4
